word,frequency,length
politburo,9,9
centre,6,6
political,327,9
decision,134,8
making,288,6
soviet,149,6
union,205,5
hon,12,3
gentleman,34,9
said,2186,4
proposal,51,8
half,413,4
baked,16,5
transporters,2,12
withstand,14,9
accidents,19,9
govenrment,11,10
ruled,37,5
any,1435,3
possibility,108,11
radioactive,21,11
leak,9,4
knew,437,4
wound,43,5
drowned,16,7
strangled,14,9
poisoned,14,8
firmly,60,6
committed,39,9
equal,105,5
treatment,158,9
women,320,5
pensions,15,8
poison,17,6
seldom,36,6
dangerous,59,9
anyone,173,6
accidentally,10,12
trodden,3,7
sea,125,3
urchin,9,6
while,723,5
bathing,19,7
knows,113,5
painful,34,7
swelling,20,8
luckily,7,7
simple,191,6
folk,47,4
game,160,4
plot,45,4
straight,130,8
forward,144,7
board,257,5
headed,77,6
sir,106,3
robert,98,6
telford,9,7
chairman,84,8
marconi,11,7
subsidiary,18,10
ubiquitous,11,10
gec,11,3
group,438,5
let,467,3
b,301,1
non,167,3
relativistic,11,12
cessation,6,9
hostilities,10,11
agreed,90,6
principle,122,9
training,179,8
allowance,28,9
travelling,6,10
expenses,57,8
weeks,154,5
consider,135,8
types,128,5
muscle,60,6
skin,58,4
gut,10,3
nerve,23,5
bridget,32,7
reported,135,8
numbers,149,7
easter,22,6
lower,167,5
courses,74,7
held,284,4
avery,11,5
hill,83,4
extra,72,5
similarly,40,9
unable,64,6
detect,28,6
subunit,8,7
transcript,6,10
chicken,45,7
calf,14,4
mouse,26,5
thymus,8,6
torpedo,9,7
electric,88,8
organ,20,5
round,127,5
cullbridge,8,10
awfully,12,7
rich,95,4
species,65,7
cold,191,4
late,201,4
spring,161,6
prove,61,5
difficult,181,9
graze,7,5
off,725,3
rye,12,3
good,920,4
tilth,7,5
mangolds,4,8
thoroughly,46,10
enjoy,62,5
dogs,76,4
today,346,5
try,154,3
pass,98,4
things,418,6
present,407,7
scallywag,6,9
monty,10,5
impressed,52,9
ll,452,2
receive,84,7
distinctive,24,11
personalised,2,12
club,164,4
card,37,4
air,302,3
participating,19,13
shell,41,5
stations,99,8
idea,239,4
easier,69,6
picture,202,7
feel,244,4
investigations,34,14
size,160,4
investigator,10,12
occupied,43,8
taking,194,6
statements,72,10
during,650,6
few,649,3
days,457,4
after,1153,5
accident,41,8
kendall,10,7
aristocratic,12,12
everton,10,7
seven,148,5
ago,292,3
australia,30,9
happy,113,5
accord,13,6
led,165,3
reopening,7,9
panguna,8,7
copper,31,6
mine,81,4
world,914,5
biggest,30,7
forecast,12,8
fall,162,4
april,91,5
despite,110,7
net,62,3
assets,24,6
million,227,7
stanhope,12,8
city,459,4
unimpressed,6,11
sector,23,6
source,115,6
less,513,4
abundant,17,8
generous,35,8
river,178,5
dried,42,5
c,362,1
ku,12,2
bands,16,5
respectively,50,12
used,645,4
these,1671,5
aspects,75,7
choice,142,6
important,424,9
look,456,4
bit,130,3
fool,45,4
front,284,5
else,206,4
watching,86,8
hadn,101,4
expended,14,8
decent,38,6
script,20,6
odd,79,3
note,144,4
nick,38,4
voice,264,5
pam,17,3
errol,9,5
children,434,8
aged,35,4
learning,98,8
change,275,6
better,438,6
rather,401,6
merely,137,6
adapt,14,5
thought,582,7
